event_id,sequence_number_coord,send_time_ns,send_time_iso,ntp_offset_ms_coord,ntp_timestamp_ns_coord,ct_offset_ms_coord,ct_timestamp_ns_coord,pattern_delay_ms,workers_sent,workers_failed,node_id,sequence_number_worker,receive_time_ns,coordinator_send_time_ns,ntp_offset_ms_worker,ntp_uncertainty_ms,ntp_timestamp_ns_worker,ct_offset_ms_worker,ct_drift_rate,ct_uncertainty_ms,ct_confidence,ct_source,ct_prediction_time,ct_timestamp_ns_worker,ct_lower_bound_ns,ct_upper_bound_ns,ct_latency_ns,ct_latency_ms,sys_latency_ns,sys_latency_ms,ct_violation,sys_violation
17,16,1761411681786447948,2025-10-25 17:01:21,-4.652023315429688,1761411681781795925,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,16,1761411681787660151,1761411681786437680,-23.746013641357425,5.0,1761411681763914138,1.3350932760175855,5.555782987885696e-06,0.3486619098111987,0.99701124,cpu,1761411681.0,1761411681788995244,1761411681787949259,1761411681790041229,2557564,2.557564,1222471,1.222471,False,False
18,17,1761411682431103721,2025-10-25 17:01:22,-4.652023315429688,1761411682426451698,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,17,1761411682432348851,1761411682431091180,-23.746013641357425,5.0,1761411682408602838,1.3197840438531645,5.555782987885696e-06,0.3808197798207402,0.99701124,cpu,1761411682.0,1761411682433668635,1761411682432526176,1761411682434811094,2577455,2.577455,1257671,1.257671,False,False
19,18,1761411683032817249,2025-10-25 17:01:23,-4.652023315429688,1761411683028165226,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,18,1761411683033891547,1761411683032806268,-23.746013641357425,5.0,1761411683010145534,1.3099913149300733,5.555782987885696e-06,0.4112757742404938,0.99701124,cpu,1761411683.0,1761411683035201538,1761411683033967711,1761411683036435365,2395270,2.39527,1085279,1.085279,False,False
20,19,1761411683634443616,2025-10-25 17:01:23,-4.652023315429688,1761411683629791593,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,19,1761411683635526469,1761411683634433148,-23.746013641357425,5.0,1761411683611780456,1.3133338669880947,5.555782987885696e-06,0.4112757742404938,0.99701124,cpu,1761411683.0,1761411683636839802,1761411683635605975,1761411683638073629,2406654,2.406654,1093321,1.093321,False,False
21,20,1761411684236332660,2025-10-25 17:01:24,-4.652023315429688,1761411684231680637,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,20,1761411684237414908,1761411684236321613,-23.746013641357425,5.0,1761411684213668895,1.295337874024732,5.555782987885696e-06,0.429075735155493,0.99701124,cpu,1761411684.0,1761411684238710245,1761411684237423018,1761411684239997472,2388632,2.388632,1093295,1.093295,False,False
22,21,1761411684837978915,2025-10-25 17:01:24,-4.652023315429688,1761411684833326892,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,21,1761411684839020702,1761411684837968886,-23.746013641357425,5.0,1761411684815274689,1.2986802658059249,5.555782987885696e-06,0.429075735155493,0.99701124,cpu,1761411684.0,1761411684840319382,1761411684839032155,1761411684841606609,2350496,2.350496,1051816,1.051816,False,False
23,22,1761411685439646952,2025-10-25 17:01:25,-4.652023315429688,1761411685434994929,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,22,1761411685440830350,1761411685439635481,-23.746013641357425,5.0,1761411685417084337,1.1091260861493235,5.555782987885696e-06,0.0117158151624607,0.9998828,cpu,1761411685.0,1761411685441939476,1761411685441904329,1761411685441974623,2303995,2.303995,1194869,1.194869,False,False
24,23,1761411686041276186,2025-10-25 17:01:26,-4.652023315429688,1761411686036624163,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,23,1761411686042442829,1761411686041265746,-23.746013641357425,5.0,1761411686018696816,1.102019445484531,5.555782987885696e-06,0.015719570001238,0.9998828,cpu,1761411686.0,1761411686043544848,1761411686043497690,1761411686043592006,2279102,2.279102,1177083,1.177083,False,False
25,24,1761411686642876912,2025-10-25 17:01:26,-4.652023315429688,1761411686638224889,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,24,1761411686644358405,1761411686642866568,-23.746013641357425,5.0,1761411686620612392,1.1053635579235734,5.555782987885696e-06,0.015719570001238,0.9998828,cpu,1761411686.0,1761411686645463768,1761411686645416610,1761411686645510926,2597200,2.5972,1491837,1.491837,False,False
26,25,1761411687244503618,2025-10-25 17:01:27,-4.652023315429688,1761411687239851595,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,25,1761411687245634564,1761411687244494200,-23.746013641357425,5.0,1761411687221888551,1.100450409709134,5.555782987885696e-06,0.0216255793930031,0.9998828,cpu,1761411687.0,1761411687246735014,1761411687246670138,1761411687246799890,2240814,2.240814,1140364,1.140364,False,False
