timestamp,elapsed_seconds,client_offset_ms,client_drift_us_per_s,client_source,ntp_ground_truth_offset_ms,ntp_uncertainty_ms,has_ntp,chronotick_error_ms,system_error_ms,dataset_size,corrections_applied
1760487798.5587413,4.291534423828125e-06,-4.264846444129944,73.53164255619049,cpu,,,False,,,12,1
1760487808.5620832,10.00334620475769,-3.9381259121000767,58.792298659682274,cpu,,,False,,,13,1
1760487818.5653996,20.006662607192993,-3.9510377682745457,16.741454601287842,cpu,,,False,,,14,1
1760487828.5674367,30.008699655532837,-3.963907714933157,11.624302715063095,cpu,,,False,,,15,1
1760487838.569056,40.010318994522095,-3.957148641347885,6.531365215778351,cpu,,,False,,,16,1
1760487848.5715356,50.01279854774475,-3.9566559717059135,13.557728379964828,cpu,,,False,,,17,1
1760487858.5736134,60.01487636566162,-3.9270296692848206,45.08998245000839,cpu,,,False,,,18,1
1760487868.5747144,70.01597738265991,-3.819794161245227,110.58337986469269,cpu,,,False,,,19,1
1760487878.5769618,80.01822471618652,-3.6211516708135605,116.30239896476269,cpu,,,False,,,20,1
1760487888.5792835,90.02054643630981,-3.195395227521658,178.775517269969,cpu,,,False,,,21,1
1760487898.582011,100.02327394485474,-2.4879504926502705,175.5780540406704,cpu,,,False,,,22,1
1760487908.5849245,110.02618741989136,-1.3827966758981347,127.8009731322527,cpu,,,False,,,23,1
1760487918.587556,120.0288188457489,-3.787633031606674,15.918165445327759,cpu,,,False,,,24,1
1760487928.5916383,130.03290128707886,-3.591220360249281,15.978934243321419,cpu,,,False,,,25,1
1760487938.594591,140.03585386276245,-3.5876180045306683,21.253712475299835,cpu,,,False,,,26,1
1760487948.5968673,150.0381302833557,-3.6696037277579308,16.908394172787666,cpu,,,False,,,27,1
1760487958.5997474,160.04101037979126,-3.6553945392370224,17.444603145122528,cpu,,,False,,,28,1
1760487968.6020894,170.04335236549377,-3.6940767895430326,13.003125786781311,cpu,,,False,,,29,1
1760487978.6044328,180.04569578170776,-3.681217087432742,21.46582119166851,cpu,-4.308780034383138,14.48202133178711,True,0.6275629469503956,4.308780034383138,31,2
1760487988.6131582,190.05442118644714,-4.539038520306349,74.03874769806862,cpu,,,False,,,32,2
1760487998.6142087,200.05547165870667,-4.453934729099274,78.39547470211983,cpu,,,False,,,33,2
1760488008.6171486,210.05841159820557,-4.520887043327093,55.42580038309097,cpu,,,False,,,34,2
1760488018.6195865,220.06084942817688,-4.458203911781311,97.38840162754059,cpu,,,False,,,35,2
1760488028.6207232,230.06198620796204,-4.382859915494919,88.70288729667664,cpu,,,False,,,36,2
1760488038.623462,240.06472492218018,-4.436499904841185,71.64198905229568,cpu,,,False,,,37,2
1760488048.6266189,250.06788182258606,-4.4291880913078785,77.86927744746208,cpu,,,False,,,38,2
1760488058.6290078,260.07027077674866,-4.422132857143879,78.93145084381104,cpu,,,False,,,39,2
1760488068.63175,270.0730130672455,-4.369728267192841,97.38607332110405,cpu,,,False,,,40,2
1760488078.6348872,280.0761501789093,-4.294865764677525,124.4712620973587,cpu,,,False,,,41,2
1760488088.6386034,290.07986640930176,-4.282879177480936,40.52789881825447,cpu,,,False,,,42,2
1760488098.640919,300.082181930542,-4.19379910454154,122.21839278936386,cpu,,,False,,,43,2
1760488108.6432955,310.0845584869385,-4.017235245555639,138.1512265652418,cpu,,,False,,,44,2
1760488118.645801,320.08706402778625,-3.604934085160494,189.14323300123215,cpu,,,False,,,45,2
1760488128.6480732,330.0893361568451,-4.370746202766895,93.03167462348938,cpu,,,False,,,46,2
1760488138.650435,340.0916979312897,-4.241357557475567,-9.244773536920547,cpu,,,False,,,47,2
1760488148.6527932,350.09405612945557,-4.216365981847048,13.46459612250328,cpu,,,False,,,48,2
1760488158.6554542,360.0967171192169,-4.170037806034088,2.268236130475998,cpu,1.1878013610839844,9.519100189208984,True,5.3578391671180725,1.1878013610839844,50,3
1760488168.664329,370.1055920124054,-3.1448914669454098,209.70264449715614,cpu,,,False,,,51,3
1760488178.6666625,380.10792541503906,-1.8262665253132582,209.91312339901924,cpu,,,False,,,52,3
1760488188.6688166,390.11007952690125,-0.47780422028154135,140.9222313668579,cpu,,,False,,,53,3
1760488198.6716595,400.11292243003845,-0.026295816496713087,37.7613068849314,cpu,,,False,,,54,3
1760488208.6739686,410.11523151397705,0.0904296975932084,19.041108316741884,cpu,,,False,,,55,3
1760488218.6768563,420.11811923980713,0.16724341548979282,2.6314519345760345,cpu,,,False,,,56,3
1760488228.678053,430.11931586265564,0.23871022858656943,-1.9291474018245935,cpu,,,False,,,57,3
1760488238.680873,440.12213587760925,0.30858078389428556,-9.985349606722593,cpu,,,False,,,58,3
1760488248.683599,450.1248619556427,0.3740985121112317,-21.990155801177025,cpu,,,False,,,59,3
1760488258.6862721,460.1275351047516,0.38770854007452726,-9.676616173237562,cpu,,,False,,,60,3
1760488268.6885576,470.12982058525085,0.3933892585337162,-3.0915834940969944,cpu,,,False,,,61,3
1760488278.691218,480.13248085975647,0.40081440238282084,-11.5731090772897,cpu,,,False,,,62,3
1760488288.6935678,490.1348307132721,0.4009357071481645,-5.17343869432807,cpu,,,False,,,63,3
1760488298.695685,500.1369478702545,0.4026207607239485,0.49252412281930447,cpu,,,False,,,64,3
1760488308.6981225,510.13938546180725,0.44438219629228115,14.773278962820768,cpu,,,False,,,65,3
1760488318.7010784,520.142341375351,0.4456577298697084,-4.039087798446417,cpu,,,False,,,66,3
1760488328.702338,530.1436009407043,0.4275962710380554,0.9609502740204334,cpu,,,False,,,67,3
