ntp_event_timestamp,ntp_offset_ms,ntp_uncertainty_ms,correction_method,error_ms,interval_start,interval_end,interval_duration_s,measurement_timestamp,time_since_interval_start_s,offset_before_correction_ms,offset_after_correction_ms,correction_delta_ms,was_corrected
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487793,0,-4.812399546305339,-4.812399546305339,0.0,False
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487794,1,-4.812399546305339,-4.812399546305339,0.0,False
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487795,2,-4.812399546305339,-4.812399546305339,0.0,False
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487796,3,-4.812399546305339,-4.812399546305339,0.0,False
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487797,4,-4.812399546305339,-4.812399546305339,0.0,False
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487798,5,-4.798496667914739,-4.798496667914739,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487799,6,-4.798496667914739,-4.798496667914739,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487800,7,-4.798496667914739,-4.798496667914739,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487801,8,-4.798496667914739,-4.798496667914739,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487802,9,-4.798496667914739,-4.798496667914739,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487803,10,-4.798496667914739,-4.798496667914739,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487804,11,-4.798496667914739,-4.798496667914739,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487805,12,-4.798496667914739,-4.798496667914739,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487806,13,-4.798496667914739,-4.798496667914739,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487807,14,-4.798496667914739,-4.798496667914739,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487808,15,-4.7706909111335385,-4.7706909111335385,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487809,16,-4.7706909111335385,-4.7706909111335385,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487810,17,-4.7706909111335385,-4.7706909111335385,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487811,18,-4.7706909111335385,-4.7706909111335385,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487812,19,-4.7706909111335385,-4.7706909111335385,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487813,20,-4.7706909111335385,-4.7706909111335385,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487814,21,-4.7706909111335385,-4.7706909111335385,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487815,22,-4.7706909111335385,-4.7706909111335385,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487816,23,-4.7706909111335385,-4.7706909111335385,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487817,24,-4.7706909111335385,-4.7706909111335385,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487818,25,-4.742885154352338,-4.742885154352338,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487819,26,-4.742885154352338,-4.742885154352338,0.0,True
1760487974.1205916,-4.308780034383138,14.48202133178711,backtracking,-0.6147032448401051,1760487793,1760487974.1205916,181.1205916404724,1760487820,27,-4.742885154352338,-4.742885154352338,0.0,True
