timestamp,elapsed_seconds,datetime,system_time,chronotick_time,chronotick_offset_ms,chronotick_uncertainty_ms,chronotick_confidence,chronotick_source,ntp_offset_ms,ntp_delay_ms,ntp_server,chronotick_error_vs_ntp_ms,system_error_vs_ntp_ms
1760636131.035815,0.001184701919555664,2025-10-16T12:35:31.035815,1760636131.035815,1760636131.035977,0.16196568806966147,5.0,0.7,ntp_warm_up,4.55164909362793,56.78415298461914,pool.ntp.org,-4.39,-4.55
1760636141.1092265,10.074596166610718,2025-10-16T12:35:41.109226,1760636141.1092265,1760636141.109656,0.42953548836521804,1.0,1.0,cpu,,,,,
1760636151.113574,20.078943729400635,2025-10-16T12:35:51.113574,1760636151.113574,1760636151.1139793,0.4052958684042096,1.0,1.0,cpu,,,,,
1760636161.115667,30.081036806106567,2025-10-16T12:36:01.115667,1760636161.115667,1760636161.1161003,0.43327672756277025,1.0,1.0,cpu,,,,,
1760636171.1175857,40.0829553604126,2025-10-16T12:36:11.117586,1760636171.1175857,1760636171.1180072,0.4214571963530034,1.0,1.0,cpu,,,,,
1760636181.1185617,50.08393144607544,2025-10-16T12:36:21.118562,1760636181.1185617,1760636181.118994,0.43223955435678363,1.0,1.0,cpu,,,,,
1760636191.1206982,60.08606791496277,2025-10-16T12:36:31.120698,1760636191.1206982,1760636191.1211336,0.435427064076066,1.0,1.0,cpu,,,,,
1760636201.1226912,70.08806085586548,2025-10-16T12:36:41.122691,1760636201.1226912,1760636201.1231275,0.43624298996292055,1.0,1.0,cpu,,,,,
1760636211.1248019,80.09017157554626,2025-10-16T12:36:51.124802,1760636211.1248019,1760636211.1252306,0.4286720650270581,1.0,1.0,cpu,,,,,
1760636221.1274529,90.0928225517273,2025-10-16T12:37:01.127453,1760636221.1274529,1760636221.1278915,0.43877464486286044,1.0,1.0,cpu,,,,,
1760636231.1307893,100.09615898132324,2025-10-16T12:37:11.130789,1760636231.1307893,1760636231.131221,0.4317043349146843,1.0,1.0,cpu,5.120992660522461,30.459880828857422,pool.ntp.org,-4.69,-5.12
1760636241.1789947,110.14436435699463,2025-10-16T12:37:21.178995,1760636241.1789947,1760636241.1794305,0.43574985465966165,1.0,1.0,cpu,,,,,
1760636251.1814485,120.14681816101074,2025-10-16T12:37:31.181448,1760636251.1814485,1760636251.1818829,0.4343341279309243,1.0,1.0,cpu,,,,,
1760636261.1838472,130.14921689033508,2025-10-16T12:37:41.183847,1760636261.1838472,1760636261.184286,0.4389443784020841,1.0,1.0,cpu,,,,,
1760636271.1859987,140.1513683795929,2025-10-16T12:37:51.185999,1760636271.1859987,1760636271.186434,0.4352389369159937,1.0,1.0,cpu,,,,,
1760636281.1880174,150.15338706970215,2025-10-16T12:38:01.188017,1760636281.1880174,1760636281.1884494,0.43194752652198076,1.0,1.0,cpu,,,,,
1760636291.1901493,160.15551900863647,2025-10-16T12:38:11.190149,1760636291.1901493,1760636291.19058,0.43056599679403007,1.0,1.0,cpu,,,,,
1760636301.1921751,170.1575448513031,2025-10-16T12:38:21.192175,1760636301.1921751,1760636301.1926117,0.4365402564872056,1.0,1.0,cpu,,,,,
1760636311.1942909,180.15966057777405,2025-10-16T12:38:31.194291,1760636311.1942909,1760636311.194735,0.4442885401658714,1.0,1.0,cpu,,,,,
1760636321.1964238,190.1617934703827,2025-10-16T12:38:41.196424,1760636321.1964238,1760636321.1968718,0.44786935904994607,1.0,1.0,cpu,,,,,
1760636331.2046347,200.17000436782837,2025-10-16T12:38:51.204635,1760636331.2046347,1760636331.2051618,0.5271771224215627,1.0,1.0,cpu,8.41975212097168,31.140804290771484,pool.ntp.org,-7.89,-8.42
1760636341.2389305,210.2043001651764,2025-10-16T12:39:01.238930,1760636341.2389305,1760636341.2394598,0.5294078146107495,1.0,1.0,cpu,,,,,
1760636351.2411518,220.20652151107788,2025-10-16T12:39:11.241152,1760636351.2411518,1760636351.2417476,0.5958312540315092,1.0,1.0,cpu,,,,,
1760636361.243066,230.2084357738495,2025-10-16T12:39:21.243066,1760636361.243066,1760636361.243635,0.5688624223694205,1.0,1.0,cpu,,,,,
1760636371.2441003,240.20947003364563,2025-10-16T12:39:31.244100,1760636371.2441003,1760636371.2447052,0.6048770155757666,1.0,1.0,cpu,,,,,
1760636381.2460566,250.21142625808716,2025-10-16T12:39:41.246057,1760636381.2460566,1760636381.2466652,0.6087639485485852,1.0,1.0,cpu,,,,,
1760636391.2481008,260.2134704589844,2025-10-16T12:39:51.248101,1760636391.2481008,1760636391.248726,0.6251203594729304,1.0,1.0,cpu,,,,,
